id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
158,43,M,16959,Marié(e),Commercial,Senior Manager,1,80,25,25,12,3,3,4,4,4,4,158,3,Oui,12 %,Non,2,3,1,158,26,2,Infra & Cloud,Y,Frequent,4,12
159,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,80,10,10,7,1,1,1,3,3,2,159,4,Non,25 %,Non,3,2,1,159,23,3,Infra & Cloud,Y,Frequent,0,9
160,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,80,8,7,7,3,3,2,2,1,4,160,3,Non,13 %,Non,1,2,1,160,22,2,Marketing,Y,Aucun,0,7
161,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,80,7,5,4,2,3,1,2,1,3,161,3,Oui,18 %,Oui,3,2,1,161,14,4,Infra & Cloud,Y,Occasionnel,4,3
162,51,M,19537,Célibataire,Consulting,Directeur Technique,7,80,23,20,18,1,3,5,3,3,3,162,3,Non,13 %,Non,0,5,1,162,6,3,Infra & Cloud,Y,Occasionnel,15,15
163,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,80,12,7,7,2,1,2,3,2,2,163,3,Oui,18 %,Oui,0,3,1,163,6,4,Infra & Cloud,Y,Occasionnel,7,7
164,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,80,5,5,4,3,2,1,2,3,2,164,3,Non,19 %,Non,0,3,1,164,6,3,Autre,Y,Occasionnel,4,3
165,58,F,10312,Marié(e),Consulting,Manager,1,80,40,40,10,4,3,3,4,4,2,165,3,Non,12 %,Oui,1,3,1,165,23,4,Transformation Digitale,Y,Occasionnel,15,6
167,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,4,3,1,3,4,2,167,3,Oui,19 %,Oui,0,2,1,167,22,1,Marketing,Y,Occasionnel,0,0
169,22,M,2523,Marié(e),Consulting,Consultant,0,80,3,2,1,3,3,1,4,3,3,169,3,Non,14 %,Non,1,2,1,169,2,1,Entrepreunariat,Y,Occasionnel,2,1
170,49,F,6567,Marié(e),Consulting,Tech Lead,1,80,16,15,11,3,3,2,1,3,2,170,3,Non,14 %,Non,0,2,1,170,20,4,Transformation Digitale,Y,Occasionnel,5,11
171,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,80,18,3,2,2,4,1,3,4,3,171,3,Non,12 %,Non,0,2,1,171,28,3,Transformation Digitale,Y,Frequent,1,2
174,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,80,16,2,2,3,3,3,4,4,3,174,3,Non,11 %,Non,0,3,1,174,12,3,Marketing,Y,Frequent,2,1
175,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,80,4,2,2,2,1,2,3,3,3,175,3,Oui,11 %,Oui,1,2,1,175,20,3,Infra & Cloud,Y,Occasionnel,2,2
176,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,80,12,9,7,3,3,3,3,3,3,176,3,Oui,13 %,Non,1,2,1,176,9,1,Infra & Cloud,Y,Occasionnel,0,7
177,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,80,8,8,7,3,3,1,3,4,3,177,4,Non,23 %,Non,1,3,1,177,25,1,Infra & Cloud,Y,Occasionnel,5,7
