age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,departement_Consulting,departement_Ressources Humaines,statut_marital_Divorcé(e),statut_marital_Marié(e),poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,mobilite_interne_ratio,ratio_anciennete,delta_evaluation
53,1,19094,4,26,14,13,3,5,3,4,2,3,0,11.0,1,3,5,3,1,4,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9285713622449028,0.7777777345679036,0
32,1,3919,1,10,10,2,2,1,1,2,3,4,1,22.0,0,5,16,1,2,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.19999998000000202,0.9090908264462886,3
42,0,6825,0,10,9,7,3,2,2,4,3,3,0,11.0,1,2,8,4,1,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7777776913580343,0.9999998888889013,0
44,1,10248,3,24,22,6,1,3,4,4,3,3,0,14.0,1,4,7,4,1,5,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.27272726033057904,0.8799999648000014,1
46,1,18947,3,22,2,2,2,5,1,4,2,3,0,12.0,0,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.99999950000025,0.399999920000016,0
33,0,2496,4,7,1,1,3,1,4,4,3,3,0,11.0,0,3,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9999990000010001,0.199999960000008,0
44,0,6465,2,9,4,2,4,2,4,4,4,3,1,13.0,0,5,10,4,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49999987500003124,0.6666665555555741,0
30,0,2206,1,10,10,0,4,1,3,1,3,3,0,13.0,0,5,9,2,1,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.9090908264462886,1
39,0,2086,3,19,1,0,4,2,4,3,4,3,0,14.0,1,6,5,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.24999993750001562,0
24,0,2293,2,6,2,0,2,1,4,1,2,3,1,16.0,1,2,1,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.49999987500003124,0
43,1,2645,1,6,5,3,4,1,3,4,2,3,0,12.0,2,3,2,2,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.599999880000024,0.8333331944444675,-1
50,0,2683,1,3,3,2,1,1,3,3,3,3,1,14.0,0,2,3,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6666664444445185,0.7499998125000469,1
35,1,2014,1,2,2,2,4,1,4,1,3,3,0,13.0,0,3,2,3,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.99999950000025,0.6666664444445185,0
36,1,3419,9,6,1,1,2,1,1,4,4,3,1,14.0,1,3,5,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9999990000010001,0.09999999000000101,1
33,1,5376,2,10,5,3,3,2,1,1,3,3,0,19.0,2,3,1,3,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.599999880000024,0.7142856122449125,-1
35,0,1951,1,1,1,0,3,1,4,3,3,3,0,12.0,1,3,4,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.499999750000125,0
27,1,2341,1,1,1,0,4,1,1,4,3,3,0,13.0,1,6,2,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,0
26,0,2293,1,1,1,0,1,1,3,3,2,3,0,12.0,0,2,25,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,2
27,0,8726,1,9,9,8,4,3,3,4,3,3,0,15.0,0,0,8,3,2,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.8888887901234679,0.8999999100000091,0
30,1,4011,1,12,12,8,3,2,4,4,3,4,0,23.0,0,2,1,2,2,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6666666111111158,0.9230768520710114,1
41,1,19545,1,23,22,15,2,5,3,4,3,3,0,12.0,0,0,12,3,1,15,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6818181508264477,0.9565216975425348,0
34,0,4568,0,10,9,5,2,2,3,3,3,4,0,20.0,0,2,23,4,0,8,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5555554938271674,0.9999998888889013,1
37,0,3022,4,8,1,0,2,1,2,1,3,4,0,21.0,0,1,19,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.199999960000008,1
46,0,5772,4,14,9,6,1,2,4,3,3,4,1,21.0,0,4,5,4,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6666665925926009,0.6923076390532585,1
35,0,2269,1,1,1,0,4,1,4,4,3,3,0,19.0,0,2,8,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,-1
48,0,5381,9,23,1,0,1,3,3,4,3,3,1,13.0,0,2,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.09999999000000101,1
28,0,3441,1,2,2,2,3,1,3,3,2,3,1,13.0,0,3,5,4,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.99999950000025,0.6666664444445185,0
44,1,5454,5,9,4,3,2,2,1,3,2,4,1,21.0,1,2,1,5,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7499998125000469,0.44444439506173394,1
35,0,9884,2,10,4,0,3,3,1,3,3,3,1,13.0,1,3,11,2,0,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.6666665555555741,1
26,1,4157,7,5,2,2,3,2,4,3,2,3,1,19.0,1,2,23,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.99999950000025,0.22222219753086697,1
33,1,13458,1,15,15,14,1,3,4,3,3,3,1,12.0,0,1,1,2,2,8,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9333332711111153,0.9374999414062536,0
35,0,9069,1,9,9,8,2,3,1,4,2,4,0,22.0,1,3,18,5,2,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.8888887901234679,0.8999999100000091,1
35,1,4014,3,4,2,2,3,1,1,3,3,3,1,15.0,1,3,23,4,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.99999950000025,0.399999920000016,0
31,0,5915,3,10,7,7,4,2,4,4,2,4,0,22.0,1,3,7,4,1,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9999998571428775,0.699999930000007,1
37,0,5993,1,7,7,5,1,2,3,3,4,3,0,18.0,1,2,1,4,1,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7142856122449125,0.8749998906250137,1
32,0,6162,1,9,9,8,1,2,4,2,3,4,1,22.0,1,3,1,3,1,7,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8888887901234679,0.8999999100000091,1
38,1,2406,1,10,10,3,4,2,4,4,3,3,0,11.0,0,2,29,5,2,9,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.299999970000003,0.9090908264462886,0
50,1,18740,5,29,27,3,2,5,3,4,2,3,1,12.0,1,2,7,2,1,13,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.11111110699588492,0.8437499736328133,1
59,1,7637,7,28,21,16,1,3,1,4,2,3,0,11.0,0,3,25,3,1,7,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.7619047256235845,0.7499999732142867,0
36,1,10096,1,17,17,14,3,3,3,2,3,3,0,13.0,3,2,8,3,1,12,8,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8235293633218022,0.9444443919753115,0
55,1,14756,2,21,5,0,4,4,3,3,3,3,1,14.0,3,2,8,3,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.7142856122449125,0
36,0,6499,1,6,6,5,2,2,2,3,3,3,0,13.0,0,3,11,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8333331944444675,0.857142734693895,1
45,0,9724,2,25,1,0,2,3,1,3,3,3,0,17.0,1,2,7,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.33333322222225925,0
35,0,2194,4,5,3,2,2,1,1,4,2,3,0,13.0,1,2,1,3,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666664444445185,0.4285713673469475,0
36,0,3388,0,2,1,0,4,1,3,1,2,3,1,17.0,1,0,9,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.9999990000010001,1
59,1,5473,7,20,4,3,1,2,3,4,2,3,0,11.0,0,2,1,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.7499998125000469,0.3636363305785154,1
29,0,2703,0,6,5,4,3,1,2,4,3,4,0,23.0,1,3,2,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.799999840000032,0.99999980000004,1
31,0,2501,1,1,1,1,3,1,2,2,3,3,0,17.0,0,4,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9999990000010001,0.499999750000125,0
32,0,6220,1,10,10,4,2,2,2,2,3,3,0,17.0,2,3,1,3,1,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.39999996000000404,0.9090908264462886,0
36,1,3038,3,5,1,0,2,1,4,2,3,3,0,12.0,0,3,6,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.24999993750001562,-1
31,1,4424,1,11,11,7,3,2,4,4,3,4,0,23.0,0,2,8,4,1,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.636363578512402,0.9166665902777842,1
35,0,4312,0,16,15,13,3,2,1,2,3,3,0,14.0,0,2,1,4,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8666666088888928,0.9999999333333378,1
45,0,13245,4,17,0,0,4,3,1,2,4,3,1,14.0,0,3,6,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
37,0,13664,4,16,5,2,1,3,3,1,4,3,0,13.0,0,3,7,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.399999920000016,0.5555554938271674,0
46,0,5021,8,16,4,2,2,2,2,4,3,4,1,22.0,1,2,5,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.49999987500003124,0.3333333055555579,1
30,0,5126,1,10,10,8,4,2,4,3,2,3,1,12.0,2,1,1,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7999999200000081,0.9090908264462886,1
35,0,2859,1,6,6,4,2,1,3,1,3,3,0,18.0,0,3,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666665555555741,0.857142734693895,1
55,0,10239,3,24,1,0,1,3,4,4,3,3,0,14.0,1,4,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.24999993750001562,0
38,1,5329,7,17,13,11,2,2,4,4,3,3,1,12.0,3,3,6,3,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8461537810650938,0.6499999675000016,2
34,0,4325,1,5,5,2,1,2,2,3,3,3,0,15.0,0,2,1,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.399999920000016,0.8333331944444675,0
56,0,7260,4,37,6,4,4,3,4,1,2,3,0,11.0,0,3,7,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6666665555555741,0.599999940000006,2
23,0,2322,3,3,0,0,3,1,1,3,3,3,0,13.0,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0
51,0,2075,3,10,4,2,4,1,4,2,3,4,0,23.0,2,4,9,4,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.49999987500003124,0.57142848979593,1
30,0,4152,1,11,11,10,3,2,4,1,3,3,0,19.0,3,3,2,3,1,10,8,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9090908264462886,0.9166665902777842,1
46,0,9619,1,9,9,8,3,3,4,4,3,3,0,16.0,0,3,9,2,1,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8888887901234679,0.8999999100000091,1
40,0,13503,1,22,22,3,3,4,2,4,2,4,0,22.0,1,3,1,4,2,11,11,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.13636363016528952,0.9565216975425348,2
51,0,5441,0,11,10,7,3,2,4,4,1,4,1,22.0,0,2,21,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.699999930000007,0.99999990000001,1
30,1,5209,1,11,11,8,3,2,2,2,2,3,1,12.0,3,4,4,2,1,2,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7272726611570308,0.9166665902777842,1
46,0,10673,2,21,10,9,3,3,1,3,2,3,1,13.0,1,5,1,3,2,9,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8999999100000091,0.8333332638888947,1
32,0,5010,1,12,11,8,2,2,3,1,3,3,0,16.0,0,0,6,4,1,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7272726611570308,0.9166665902777842,0
54,1,13549,9,16,4,3,1,3,3,1,1,3,0,12.0,1,5,2,4,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7499998125000469,0.3076922840236705,0
24,1,4999,0,4,3,2,1,2,3,1,2,4,0,21.0,1,2,3,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666664444445185,0.9999996666667778,1
28,0,4221,1,5,5,4,2,2,3,2,4,3,0,15.0,0,3,4,3,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.799999840000032,0.8333331944444675,0
58,0,13872,0,38,37,10,4,4,3,3,2,3,0,13.0,0,1,10,4,1,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2702702629656686,0.9999999729729737,0
44,0,2042,4,17,3,2,2,2,2,3,4,3,0,12.0,1,3,23,3,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6666664444445185,0.4285713673469475,0
37,0,2073,4,7,3,2,3,1,1,4,3,4,1,22.0,0,3,6,4,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6666664444445185,0.4285713673469475,1
32,0,2956,1,1,1,0,4,1,1,4,3,3,0,13.0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,0
20,1,2926,1,1,1,0,4,1,4,2,3,3,1,18.0,0,5,6,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,1
34,1,4809,1,16,16,13,1,2,3,3,3,3,0,14.0,0,3,6,4,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8124999492187531,0.9411764152249167,0
37,0,5163,5,17,1,0,3,2,4,4,4,3,0,14.0,1,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.16666663888889352,1
59,1,18844,9,30,3,2,3,5,4,4,3,4,0,21.0,1,3,2,4,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6666664444445185,0.2499999791666684,2
50,1,18172,3,28,8,3,1,5,2,1,2,3,1,19.0,0,1,1,3,2,0,7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3749999531250059,0.7272726611570308,0
25,0,5744,1,6,6,4,3,2,3,4,3,3,1,11.0,0,1,5,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6666665555555741,0.857142734693895,1
25,0,2889,1,2,2,2,4,1,4,3,3,3,0,11.0,2,2,7,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99999950000025,0.6666664444445185,1
22,1,2871,1,1,0,0,2,1,4,3,3,3,0,15.0,0,5,15,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
51,1,7484,3,23,13,12,1,3,1,3,2,4,0,20.0,0,1,1,4,2,12,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9230768520710114,0.8124999492187531,2
34,0,6074,1,9,9,7,1,2,3,4,3,4,1,24.0,0,3,7,3,2,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7777776913580343,0.8999999100000091,3
54,1,17328,2,23,5,3,4,4,4,3,3,3,1,12.0,0,3,26,3,0,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.599999880000024,0.7142856122449125,-1
24,0,2774,0,6,5,3,2,1,3,3,3,3,0,12.0,1,2,18,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.599999880000024,0.99999980000004,0
34,1,4505,6,12,1,0,3,2,2,3,3,3,0,15.0,1,3,6,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1428571224489825,1
37,0,7428,2,12,5,3,3,3,4,1,3,3,0,12.0,0,3,3,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.599999880000024,0.7142856122449125,0
34,1,11631,2,14,11,10,3,3,1,4,3,3,0,12.0,0,6,5,3,1,5,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.9090908264462886,0.8461537810650938,1
36,1,9738,0,10,9,7,2,3,4,3,3,3,0,14.0,1,6,11,2,2,2,8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7777776913580343,0.9999998888889013,0
36,1,2835,5,7,1,0,1,1,4,1,3,4,0,22.0,1,2,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.16666663888889352,1
43,0,16959,1,25,25,12,3,4,4,4,4,3,1,12.0,2,3,26,2,2,4,12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.4799999808000007,0.9615384245562144,0
30,0,2613,1,10,10,7,1,1,3,3,2,4,0,25.0,3,2,23,3,2,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.699999930000007,0.9090908264462886,3
33,0,6146,0,8,7,7,3,2,2,1,4,3,0,13.0,1,2,22,2,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9999998571428775,0.9999998571428775,0
56,1,4963,9,7,5,4,2,1,2,1,3,3,1,18.0,3,2,14,4,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.799999840000032,0.3571428316326549,0
51,0,19537,7,23,20,18,1,5,3,3,3,3,0,13.0,0,5,6,3,1,15,15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8999999550000022,0.7407407133058995,0
31,0,6172,4,12,7,7,2,2,3,2,2,3,1,18.0,0,3,6,4,1,7,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9999998571428775,0.636363578512402,2
26,1,2368,1,5,5,4,3,1,2,3,2,3,0,19.0,0,3,6,3,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799999840000032,0.8333331944444675,1
58,1,10312,1,40,40,10,4,3,4,4,2,3,0,12.0,1,3,23,4,1,15,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.24999999375000018,0.9756097323022017,0
19,0,1675,1,0,0,0,4,1,3,4,2,3,1,19.0,0,2,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0
22,0,2523,0,3,2,1,3,1,4,3,3,3,0,14.0,1,2,2,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.499999750000125,0.99999950000025,0
49,1,6567,1,16,15,11,3,2,1,3,2,3,0,14.0,0,2,20,4,1,5,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7333332844444478,0.9374999414062536,0
43,1,4739,4,18,3,2,2,1,3,4,3,3,0,12.0,0,2,28,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666664444445185,0.4285713673469475,-1
